game_id,home_club_id,away_club_id,home_club_total_shots,away_club_total_shots,home_club_shots_off_target,away_club_shots_off_target,home_club_shots_saved,away_club_shots_saved,home_club_corners,away_club_corners,home_club_free_kicks,away_club_free_kicks,home_club_fouls,away_club_fouls,home_club_offsides,away_club_offsides
2702734,1082,583,2.0,8.0,4.0,5.0,7.0,3.0,2.0,4.0,20.0,23.0,21.0,17.0,2.0,3.0
2701678,273,40,4.0,2.0,7.0,4.0,1.0,4.0,8.0,3.0,16.0,16.0,14.0,13.0,2.0,3.0
2701632,1158,1082,4.0,0.0,2.0,5.0,0.0,3.0,4.0,2.0,7.0,14.0,12.0,7.0,2.0,0.0
2701609,855,244,4.0,3.0,9.0,2.0,2.0,2.0,4.0,6.0,19.0,14.0,10.0,16.0,4.0,3.0
2701607,273,1159,3.0,1.0,3.0,4.0,1.0,1.0,3.0,7.0,13.0,9.0,9.0,11.0,0.0,2.0
2704573,41,18,7.0,3.0,5.0,3.0,2.0,5.0,8.0,4.0,19.0,12.0,8.0,19.0,4.0,0.0
2704544,33,533,2.0,4.0,2.0,8.0,3.0,1.0,6.0,3.0,14.0,22.0,20.0,12.0,2.0,2.0
2704524,16,82,9.0,3.0,4.0,3.0,3.0,7.0,9.0,2.0,16.0,23.0,18.0,14.0,5.0,2.0
2704514,23826,41,0.0,4.0,8.0,3.0,2.0,0.0,3.0,6.0,21.0,13.0,9.0,18.0,4.0,3.0
2704465,167,533,1.0,3.0,3.0,3.0,1.0,1.0,4.0,4.0,17.0,18.0,18.0,16.0,0.0,1.0
2704455,44,105,6.0,0.0,5.0,2.0,0.0,4.0,6.0,4.0,18.0,13.0,13.0,15.0,0.0,3.0
2704359,60,23826,3.0,8.0,3.0,4.0,4.0,2.0,4.0,5.0,20.0,11.0,10.0,15.0,1.0,5.0
2704227,86,167,1.0,5.0,5.0,8.0,3.0,0.0,0.0,4.0,28.0,13.0,13.0,27.0,0.0,1.0
2702830,347,855,6.0,4.0,3.0,3.0,2.0,4.0,6.0,2.0,14.0,16.0,16.0,11.0,0.0,3.0
2702824,1041,1420,2.0,3.0,9.0,6.0,3.0,0.0,7.0,3.0,15.0,14.0,13.0,15.0,1.0,0.0
2718765,1244,1049,2.0,4.0,4.0,3.0,2.0,1.0,1.0,5.0,20.0,21.0,20.0,16.0,1.0,4.0
2718751,1084,1533,4.0,1.0,4.0,5.0,0.0,2.0,7.0,5.0,15.0,12.0,7.0,13.0,5.0,2.0
2718737,940,13,1.0,7.0,5.0,7.0,3.0,1.0,6.0,4.0,14.0,13.0,13.0,12.0,0.0,2.0
2718712,897,1533,6.0,6.0,5.0,2.0,5.0,4.0,1.0,8.0,17.0,18.0,14.0,16.0,4.0,1.0
2717373,1159,40,1.0,4.0,3.0,2.0,3.0,1.0,6.0,8.0,9.0,10.0,10.0,9.0,0.0,0.0
2716713,347,969,4.0,4.0,1.0,7.0,4.0,2.0,4.0,8.0,11.0,20.0,19.0,10.0,1.0,1.0
2716709,162,1158,8.0,3.0,8.0,4.0,3.0,4.0,3.0,6.0,14.0,9.0,7.0,12.0,2.0,2.0
2716695,1158,855,4.0,7.0,3.0,3.0,5.0,1.0,3.0,6.0,17.0,15.0,14.0,15.0,1.0,2.0
2704655,41,105,6.0,4.0,3.0,2.0,2.0,6.0,9.0,6.0,20.0,14.0,12.0,18.0,2.0,2.0
2704649,23826,60,6.0,1.0,2.0,4.0,1.0,2.0,6.0,0.0,13.0,21.0,19.0,12.0,2.0,1.0
2719028,940,150,4.0,6.0,3.0,6.0,4.0,4.0,5.0,6.0,14.0,19.0,15.0,13.0,4.0,1.0
2719001,1108,331,4.0,5.0,7.0,1.0,4.0,4.0,5.0,1.0,14.0,21.0,20.0,12.0,1.0,2.0
2718978,472,1050,10.0,4.0,4.0,3.0,4.0,9.0,8.0,5.0,14.0,15.0,15.0,13.0,0.0,1.0
2718965,13,1049,10.0,2.0,7.0,2.0,2.0,7.0,6.0,2.0,11.0,18.0,17.0,10.0,1.0,1.0
2718938,714,331,6.0,1.0,2.0,2.0,1.0,3.0,10.0,2.0,10.0,15.0,11.0,10.0,4.0,0.0
2718937,2448,13,1.0,5.0,4.0,3.0,1.0,0.0,12.0,3.0,15.0,11.0,11.0,9.0,0.0,6.0
