game_id,club_id,own_goals,own_position,own_manager_name,opponent_id,opponent_goals,opponent_position,opponent_manager_name,hosting,is_win
3047779,1082,1,2.0,Christophe Galtier,667,1,8.0,Thierry Laurey,Away,0
3047786,415,1,15.0,Alain Casanova,1041,5,3.0,Bruno Génésio,Away,0
3047797,1162,1,19.0,Fabien Mercadal,273,3,8.0,Julien Stéphan,Away,0
3047806,969,2,7.0,Michel Der Zakarian,1041,3,3.0,Bruno Génésio,Away,0
3047816,1041,1,3.0,Bruno Génésio,273,0,10.0,Julien Stéphan,Away,1
3047822,244,0,5.0,Rudi Garcia,40,2,13.0,Paulo Sousa,Away,0
3047832,583,1,1.0,Thomas Tuchel,1082,5,2.0,Christophe Galtier,Away,0
3047835,415,1,15.0,Alain Casanova,969,2,6.0,Michel Der Zakarian,Away,0
3047836,1041,1,3.0,Bruno Génésio,995,2,14.0,Vahid Halilhodzic,Away,0
3047845,40,1,14.0,Paulo Sousa,1160,2,9.0,Bernard Blaquart,Away,0
3047866,417,1,7.0,Patrick Vieira,583,1,1.0,Thomas Tuchel,Away,0
3047871,583,2,1.0,Thomas Tuchel,1420,1,13.0,Stéphane Moulin,Away,1
3047875,1041,3,3.0,Bruno Génésio,244,0,6.0,Rudi Garcia,Away,1
3050167,281,2,3.0,Pep Guardiola,11,0,15.0,Unai Emery,Away,1
3050169,873,2,4.0,Roy Hodgson,931,0,18.0,Slavisa Jokanovic,Away,1
3050197,931,2,13.0,Slavisa Jokanovic,1237,2,14.0,Chris Hughton,Away,0
3050203,31,2,1.0,Jürgen Klopp,1003,1,8.0,Claude Puel,Away,1
3050212,11,2,7.0,Unai Emery,762,1,19.0,Rafael Benítez,Away,1
3050258,631,4,3.0,Maurizio Sarri,1132,0,15.0,Sean Dyche,Away,1
3050299,931,0,20.0,Claudio Ranieri,631,2,3.0,Maurizio Sarri,Away,0
3050331,985,1,6.0,José Mourinho,31,3,1.0,Jürgen Klopp,Away,0
3050334,1132,0,18.0,Sean Dyche,148,1,3.0,Mauricio Pochettino,Away,0
3050350,1110,0,20.0,David Wagner,931,1,19.0,Claudio Ranieri,Away,0
3050356,762,1,15.0,Rafael Benítez,1010,1,9.0,Javi Gracia,Away,0
3050362,1132,2,16.0,Sean Dyche,1110,1,20.0,David Wagner,Away,1
3050379,148,2,3.0,Mauricio Pochettino,931,1,19.0,Claudio Ranieri,Away,1
3050381,873,3,14.0,Roy Hodgson,31,4,1.0,Jürgen Klopp,Away,0
3050384,29,1,11.0,Marco Silva,180,2,15.0,Ralph Hasenhüttl,Away,0
3050388,631,0,5.0,Maurizio Sarri,989,4,10.0,Eddie Howe,Away,0
3050441,985,3,6.0,Ole Gunnar Solskjaer,873,1,14.0,Roy Hodgson,Away,1
3050449,873,3,13.0,Roy Hodgson,1132,1,16.0,Sean Dyche,Away,1
3050458,379,0,9.0,Manuel Pellegrini,603,2,18.0,Neil Warnock,Away,0
3050476,603,2,17.0,Neil Warnock,1237,0,15.0,Chris Hughton,Away,1
3050541,379,1,11.0,Manuel Pellegrini,148,0,3.0,Mauricio Pochettino,Away,1
3058413,33,1,11.0,Domenico Tedesco,82,2,6.0,Bruno Labbadia,Away,0
3058450,42,0,16.0,André Breitenreiter,4,2,8.0,Michael Köllner,Away,0
3058472,4,0,12.0,Michael Köllner,23826,6,2.0,Ralf Rangnick,Away,0
3058473,82,0,9.0,Bruno Labbadia,86,2,4.0,Florian Kohfeldt,Away,0
3058509,18,3,2.0,Dieter Hecking,86,1,7.0,Florian Kohfeldt,Away,1
3058515,4,2,15.0,Michael Köllner,33,5,14.0,Domenico Tedesco,Away,0
3058516,79,0,18.0,Markus Weinzierl,15,2,12.0,Heiko Herrlich,Away,0
3058518,533,3,6.0,Julian Nagelsmann,44,3,8.0,Pál Dárdai,Away,0
3058534,167,0,14.0,Manuel Baum,15,1,11.0,Heiko Herrlich,Away,0
3058537,38,1,18.0,Friedhelm Funkel,86,3,8.0,Florian Kohfeldt,Away,0
3058538,23826,0,4.0,Ralf Rangnick,60,3,12.0,Christian Streich,Away,0
3058541,18,0,2.0,Dieter Hecking,533,0,6.0,Julian Nagelsmann,Away,0
3058560,18,1,3.0,Dieter Hecking,16,2,1.0,Lucien Favre,Away,0
3058572,39,3,11.0,Sandro Schwarz,79,2,16.0,Markus Weinzierl,Away,1
3058582,533,4,6.0,Julian Nagelsmann,60,2,13.0,Christian Streich,Away,1
3058617,24,3,6.0,Adi Hütter,42,0,17.0,Thomas Doll,Away,1
3058640,4,1,18.0,Boris Schommers,533,2,8.0,Julian Nagelsmann,Away,0
3058650,86,3,8.0,Florian Kohfeldt,15,1,6.0,Peter Bosz,Away,1
3058659,44,0,10.0,Pál Dárdai,23826,5,3.0,Ralf Rangnick,Away,0
3058666,16,0,2.0,Lucien Favre,27,5,1.0,Niko Kovac,Away,0
3058694,33,4,15.0,Huub Stevens,16,2,2.0,Lucien Favre,Away,1
3058697,44,0,11.0,Pál Dárdai,24,0,4.0,Adi Hütter,Away,0
3069373,2423,0,12.0,João Henriques,1301,1,8.0,Cláudio Braga,Away,0
3069391,982,2,13.0,Costinha,1085,1,14.0,Lito Vidigal,Away,1
3069466,2457,1,9.0,Silas,7378,1,10.0,António Folha,Away,0
3069469,2420,0,8.0,Luís Castro,2503,0,15.0,Jorge Simão,Away,0
3069471,1085,1,11.0,Lito Vidigal,1075,2,2.0,Abel Ferreira,Away,0
3069484,3349,1,16.0,Nuno Manta Santos,1085,2,8.0,Lito Vidigal,Away,0
3069487,294,3,4.0,Rui Vitória,7179,1,14.0,Pêpa,Away,1
3069492,1085,1,7.0,Lito Vidigal,1301,0,13.0,Petit,Away,1
3069504,3336,1,16.0,José Mota,336,4,2.0,Marcel Keizer,Away,0
3069519,2503,1,13.0,Jorge Simão,979,2,7.0,Ivo Vieira,Away,0
3069549,1085,1,12.0,Lito Vidigal,2425,1,10.0,Daniel Ramos,Away,0
3069573,7378,1,8.0,António Folha,2423,2,10.0,João Henriques,Away,0
3069589,3336,1,14.0,Augusto Inácio,1301,0,16.0,Petit,Away,1
3069598,1075,0,3.0,Abel Ferreira,336,3,4.0,Marcel Keizer,Away,0
3079429,1244,1,18.0,Mauricio Pellegrino,1049,1,14.0,Marcelino,Away,0
3079445,621,0,17.0,Eduardo Berizzo,714,1,2.0,Rubi,Away,0
3079446,13,1,4.0,Diego Simeone,1244,1,18.0,Mauricio Pellegrino,Away,0
3079485,12321,0,9.0,Eusebio,621,1,18.0,Gaizka Garitano,Away,0
3079491,131,4,1.0,Ernesto Valverde,714,0,10.0,Rubi,Away,1
3079494,368,1,2.0,Pablo Machín,1049,1,15.0,Marcelino,Away,0
3079507,940,0,11.0,Miguel Cardoso,131,2,1.0,Ernesto Valverde,Away,0
3079511,3709,1,7.0,Pepe Bordalás,12321,1,8.0,Eusebio,Away,0
3080769,1108,0,5.0,Abelardo,3709,4,6.0,Pepe Bordalás,Away,0
3080784,12321,0,16.0,Eusebio,1533,3,10.0,José Luis Mendilibar,Away,0
3080787,621,1,12.0,Gaizka Garitano,681,2,9.0,Imanol Alguacil,Away,0
3080880,5358,2,20.0,Francisco Rodríguez,3368,2,15.0,Paco López,Away,0
3080890,3709,2,5.0,Pepe Bordalás,366,2,18.0,Sergio,Away,0
3080893,681,1,11.0,Imanol Alguacil,131,2,1.0,Ernesto Valverde,Away,0
